MONTADORA;Modelo;VALOR DO DESCONTO;Estado;País;MOTOR
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT MOBI 1.0 LIKE FLEX 4-P  (341ACX0);8000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT MOBI 1.0 LIKE FLEX 4-P  (341ACY0);8000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT MOBI 1.0 LIKE FLEX 4-P  (341ACZ0);8000;Minas Gerais;Brasil;1.0
RENAULT DO BRASIL S.A;KWID 1.0 Zen;8000;Paraná;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.0 LIVE FLEX 5-P (1CSBSUD4I5GC9TB0);7000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.0 LIVE FLEX 5-P (1CSBSUD4I5GCA0B0);7000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT MOBI 1.0 TREKKING FLEX 4-P  (341ABX0);7000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT MOBI 1.0 TREKKING FLEX 4-P  (341ABY0);7000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT MOBI 1.0 TREKKING FLEX 4-P  (341ABZ0);7000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT MOBI 1.0 TREKKING FLEX 4-P  (341ATZ0);7000;Minas Gerais;Brasil;1.0
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;GOL / 1.0 TRENDLINE;7000;Paraná;Brasil;1.0
RENAULT DO BRASIL S.A;KWID 1.0 Intense;7000;Paraná;Brasil;1.0
RENAULT DO BRASIL S.A;KWID 1.0 Intense Biton;7000;Paraná;Brasil;1.0
RENAULT DO BRASIL S.A;KWID 1.0 Outsider;7000;Paraná;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT1 1.0 MT;7000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT1 1.0 MT;7000;São Paulo;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.0 LIKE FLEX 5-P (1PPAA5D4I5GC9QB5);7000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.0 LIKE FLEX 5-P (1PPAA5D4I5GC9RB5);7000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.0 LIKE FLEX 5-P (1PPAA5D4I5GC9SB4);7000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.0 LIKE FLEX 5-P (1PPAA5D4I5GCA0B4);7000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.0 LIKE FLEX 5-P (1PPAA5D4I5GCA0B5);7000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.0 FEEL FLEX 5-P (1CSBSUH4I5GC9RB0);6000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.0 FEEL FLEX 5-P (1CSBSUH4I5GC9SB0);6000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.0 FEEL FLEX 5-P (1CSBSUH4I5GC9WB0);6000;Minas Gerais;Brasil;1.0
